ticker_symbol,company_name,day_date,close_value,volume,open_value,high_value,low_value
TSLA,Tesla Inc,2019-02-04,312.89,7344076,312.98,315.3,301.88
TSLA,Tesla Inc,2019-02-05,321.35,6734739,312.49,322.44,312.2494
TSLA,Tesla Inc,2019-02-06,317.22,5031368,319.59,324.24,315.624
TSLA,Tesla Inc,2019-02-07,307.51,6511830,313.3,314.7,303.0
TSLA,Tesla Inc,2019-02-08,305.8,5835078,306.83,307.445,298.5
TSLA,Tesla Inc,2019-02-09,305.8,5835078,306.83,307.445,298.5
TSLA,Tesla Inc,2019-02-10,305.8,5835078,306.83,307.445,298.5
TSLA,Tesla Inc,2019-02-11,312.84,7114012,311.6,318.6,310.5
TSLA,Tesla Inc,2019-02-12,311.81,5485419,316.2,318.19,309.62
TSLA,Tesla Inc,2019-02-13,308.17,5130398,312.35,312.75,305.57
TSLA,Tesla Inc,2019-02-14,303.77,5190887,303.38,306.77,301.0
TSLA,Tesla Inc,2019-02-15,307.88,3895815,304.5,308.0,303.9
TSLA,Tesla Inc,2019-02-16,307.88,3895815,304.5,308.0,303.9
TSLA,Tesla Inc,2019-02-17,307.88,3895815,304.5,308.0,303.9
TSLA,Tesla Inc,2019-02-18,307.88,3895815,304.5,308.0,303.9
TSLA,Tesla Inc,2019-02-19,305.64,4120520,306.56,311.5442,305.47
TSLA,Tesla Inc,2019-02-20,302.56,7132969,304.41,306.3,299.0
TSLA,Tesla Inc,2019-02-21,291.23,8880830,301.81,303.2399,290.5
TSLA,Tesla Inc,2019-02-22,294.71,5731380,294.49,296.5,292.1
TSLA,Tesla Inc,2019-02-23,294.71,5731380,294.49,296.5,292.1
TSLA,Tesla Inc,2019-02-24,294.71,5731380,294.49,296.5,292.1
TSLA,Tesla Inc,2019-02-25,298.77,6213701,297.91,302.9044,297.0005
TSLA,Tesla Inc,2019-02-26,297.86,8571609,292.22,302.01,288.7701
TSLA,Tesla Inc,2019-02-27,314.74,11144100,301.78,316.295,300.55
TSLA,Tesla Inc,2019-02-28,319.88,9666224,318.92,320.0,310.81
TSLA,Tesla Inc,2019-03-01,294.79,22848750,306.94,307.13,291.9
TSLA,Tesla Inc,2019-03-02,294.79,22848750,306.94,307.13,291.9
TSLA,Tesla Inc,2019-03-03,294.79,22848750,306.94,307.13,291.9
TSLA,Tesla Inc,2019-03-04,285.36,17068890,298.12,299.0,282.78
TSLA,Tesla Inc,2019-03-05,276.54,18729800,282.0,284.0,270.1
TSLA,Tesla Inc,2019-03-06,276.24,10319370,276.48,281.5058,274.39
TSLA,Tesla Inc,2019-03-07,276.59,9410697,278.84,284.7,274.25
TSLA,Tesla Inc,2019-03-08,284.14,8805772,276.91,285.59,275.89
TSLA,Tesla Inc,2019-03-09,284.14,8805772,276.91,285.59,275.89
TSLA,Tesla Inc,2019-03-10,284.14,8805772,276.91,285.59,275.89
TSLA,Tesla Inc,2019-03-11,290.92,7372298,283.52,291.28,280.5
TSLA,Tesla Inc,2019-03-12,283.36,7488037,286.49,288.07,281.06
TSLA,Tesla Inc,2019-03-13,288.96,6817854,283.9,291.99,282.7
TSLA,Tesla Inc,2019-03-14,289.96,7048138,292.45,295.39,288.29
TSLA,Tesla Inc,2019-03-15,275.43,14757360,283.51,283.7244,274.4
TSLA,Tesla Inc,2019-03-16,275.43,14757360,283.51,283.7244,274.4
TSLA,Tesla Inc,2019-03-17,275.43,14757360,283.51,283.7244,274.4
TSLA,Tesla Inc,2019-03-18,269.49,10264960,276.0,278.05,267.3
TSLA,Tesla Inc,2019-03-19,267.47,11774330,267.5,273.3,263.46
TSLA,Tesla Inc,2019-03-20,273.6,6881976,269.69,274.97,266.3
TSLA,Tesla Inc,2019-03-21,274.02,5930925,272.6,276.45,268.45
TSLA,Tesla Inc,2019-03-22,264.53,8721950,272.58,272.8,264.0
