ticker_symbol,company_name,day_date,close_value,volume,open_value,high_value,low_value,month_day,Unnamed: 0,date,text,news_sentiment
TSLA,Tesla Inc,2019-01-23,287.59,12513080,292.5,294.5,281.69,01-23,1243.0,2020-01-23 00:00:00,like central bank ecb met thursday scrambling prepare report warns could coming economic upheaval climate change could blow economy bank aren’t ready,1.0
TSLA,Tesla Inc,2019-01-24,291.51,7990911,283.03,293.68,279.2831,01-24,1250.0,2020-01-24 00:00:00,analysis phone belonging jeff bezos found malicious code hidden video sent whatsapp account belonging crown prince mohammed bin salman week tech tech mogul’s phone saudi crown prince,-1.0
TSLA,Tesla Inc,2019-01-25,297.04,7102781,294.39,298.5195,289.55,01-25,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-26,297.04,7102781,294.39,298.5195,289.55,01-26,0.0,0,0,0.0
TSLA,Tesla Inc,2019-01-27,297.04,7102781,294.39,298.5195,289.55,01-27,1253.0,2020-01-27 00:00:00,nba great known feat court also building reputation investor entrepreneur kobe bryant’s death cut short budding business career,1.0
TSLA,Tesla Inc,2019-01-28,296.38,6409477,292.91,297.46,287.75,01-28,1245.0,2020-01-28 00:00:00,company gotten skilled producing topical ad bungling recent celebrity death showing tact time around kobe bryant’s death pitfall big brand,1.0
TSLA,Tesla Inc,2019-01-29,297.46,4602933,295.27,298.5566,291.8,01-29,1237.0,2020-01-29 00:00:00,electriccar maker chief elon musk head potentially crucial year positive note tesla post million profit quarter extending rebound,1.0
TSLA,Tesla Inc,2019-01-29,297.46,4602933,295.27,298.5566,291.8,01-29,1236.0,2020-01-29 00:00:00,faith elon musk’s company driven stock new height detractor think skepticism vindicated end tesla earnings arrive bull bear continue spar,1.0
TSLA,Tesla Inc,2019-01-30,308.77,10594040,300.45,309.0,298.49,01-30,1240.0,2020-01-30 00:00:00,tesla reported million quarterly profit yesterday convincing backer company solved problem — doubter aren’t convinced elon musk hit back critic,1.0
TSLA,Tesla Inc,2019-01-31,307.02,12545190,301.0,311.5636,294.0,01-31,1249.0,2020-01-31 00:00:00,american delta united halt service chinese mainland widening impact outbreak business travel major u airline suspend china flight coronavirus,1.0
TSLA,Tesla Inc,2019-02-01,312.21,7263618,305.42,316.1,303.5,02-01,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-02,312.21,7263618,305.42,316.1,303.5,02-02,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-03,312.21,7263618,305.42,316.1,303.5,02-03,1257.0,2020-02-03 00:00:00,news battery supplier optimistic analysis helped lift electricvehicle maker’s share price monday tesla stock soar,0.0
TSLA,Tesla Inc,2019-02-04,312.89,7344076,312.98,315.3,301.88,02-04,1263.0,2020-02-04 00:00:00,hyundai idle plant south korea pointing shortage component due coronavirus outbreak hinting trouble manufacturer virus expose crack carmakers’ chinese supply chain,-1.0
TSLA,Tesla Inc,2019-02-04,312.89,7344076,312.98,315.3,301.88,02-04,1256.0,2020-02-04 00:00:00,trader bet tesla’s success could one pushing share price higher tesla’s stock two day what’s going,1.0
TSLA,Tesla Inc,2019-02-05,321.35,6734739,312.49,322.44,312.2494,02-05,1260.0,2020-02-05 00:00:00,social network facebook bought billion reportedly collected billion ad revenue last year — surpassing youtube’s ad sale instagram steal century,1.0
TSLA,Tesla Inc,2019-02-05,321.35,6734739,312.49,322.44,312.2494,02-05,1262.0,2020-02-05 00:00:00,solid economic report corporate earnings bolstered equity commodity market stock shrug outbreak worry reach new record,1.0
TSLA,Tesla Inc,2019-02-06,317.22,5031368,319.59,324.24,315.624,02-06,1259.0,2020-02-06 00:00:00,tech giant reportedly weighing whether divest thirdparty ad business assuage antitrust regulator google shrink save,0.0
TSLA,Tesla Inc,2019-02-07,307.51,6511830,313.3,314.7,303.0,02-07,1265.0,2020-02-07 00:00:00,virus outbreak rattled global economy disrupting supply chain closing access lucrative consumer market starbucks fedex coronavirus upends business depend china,0.0
TSLA,Tesla Inc,2019-02-07,307.51,6511830,313.3,314.7,303.0,02-07,1264.0,2020-02-07 00:00:00,invest supporting animal welfare socially conscious fund may support chipotle burger king impossible whopper vegan end leather portfolio,-1.0
TSLA,Tesla Inc,2019-02-08,305.8,5835078,306.83,307.445,298.5,02-08,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-09,305.8,5835078,306.83,307.445,298.5,02-09,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-10,305.8,5835078,306.83,307.445,298.5,02-10,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-11,312.84,7114012,311.6,318.6,310.5,02-11,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-12,311.81,5485419,316.2,318.19,309.62,02-12,0.0,0,0,0.0
TSLA,Tesla Inc,2019-02-13,308.17,5130398,312.35,312.75,305.57,02-13,1255.0,2020-02-13 00:00:00,electriccar maker said agency also looking contract “regular financing arrangements” tesla face new sec investigation,1.0
TSLA,Tesla Inc,2019-02-14,303.77,5190887,303.38,306.77,301.0,02-14,1258.0,2020-02-14 00:00:00,airline pledge spend least billion buy emission offset invest efficient plane new fuel source carboncapture technology delta plan go carbon neutral yes read right,1.0
